epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,84.4804,1.69085,8.10505,0.01267,0.00315,0.94444,0.30247,0.09986,1.45951,10.9636,0.01753,0.000649573,0.000649573,0.000649573
2,151.311,1.58848,7.45936,0.01211,0.4657,0.27778,0.32898,0.16606,1.66256,10.406,0.01988,0.00130321,0.00130321,0.00130321
3,311.41,1.65254,6.92352,0.01232,0.82154,0.27778,0.3861,0.16958,1.90887,10.4616,0.02114,0.00194364,0.00194364,0.00194364
4,457.126,1.6787,6.06725,0.01225,0.39057,0.55556,0.4303,0.17272,2.00057,8.91409,0.02946,0.0019406,0.0019406,0.0019406
5,546.868,1.74615,6.00144,0.01311,0.78276,0.38889,0.59531,0.18238,2.0488,8.64901,0.02744,0.0019208,0.0019208,0.0019208
6,636.968,1.7235,5.64825,0.01281,0.65419,0.27778,0.40658,0.16643,1.57288,7.87807,0.01911,0.001901,0.001901,0.001901
7,699.445,1.69833,5.43817,0.01221,0.47198,0.44444,0.53044,0.21597,1.78468,7.07615,0.02079,0.0018812,0.0018812,0.0018812
8,761.885,1.73153,4.74865,0.01301,0.54545,0.61111,0.56601,0.28507,1.59635,6.21378,0.01865,0.0018614,0.0018614,0.0018614
9,825.011,1.73826,4.59801,0.01297,0.35434,0.45776,0.39135,0.18647,1.7502,6.06206,0.02112,0.0018416,0.0018416,0.0018416
10,888.318,1.66559,4.32697,0.01314,0.55069,0.55556,0.54781,0.26146,1.67312,5.39707,0.01918,0.0018218,0.0018218,0.0018218
11,951.001,1.77949,4.06091,0.01299,0.64313,0.5,0.55511,0.27485,1.97762,5.12073,0.02323,0.001802,0.001802,0.001802
12,1013.79,1.73628,3.74054,0.01183,0.6848,0.5,0.55192,0.27225,1.76582,4.94439,0.02134,0.0017822,0.0017822,0.0017822
13,1076.59,1.77767,3.58281,0.01289,0.72061,0.61111,0.6009,0.25937,2.20541,4.69384,0.02483,0.0017624,0.0017624,0.0017624
14,1139.84,1.70945,3.36593,0.01288,0.62552,0.55687,0.59615,0.2729,1.86661,4.42322,0.02406,0.0017426,0.0017426,0.0017426
15,1203.06,1.65815,2.84081,0.012,0.50773,0.63086,0.57817,0.24942,1.91586,4.09112,0.02108,0.0017228,0.0017228,0.0017228
16,1265.52,1.7573,2.9357,0.01265,0.6811,0.61111,0.59388,0.26943,1.69296,4.03583,0.01931,0.001703,0.001703,0.001703
17,1328.53,1.68313,2.70162,0.01297,0.798,0.65888,0.69276,0.34335,1.43668,3.88699,0.01484,0.0016832,0.0016832,0.0016832
18,1391.03,1.73194,2.50902,0.01184,0.69863,0.66667,0.64556,0.3045,1.82029,3.62895,0.02161,0.0016634,0.0016634,0.0016634
19,1454.65,1.70651,2.45976,0.01296,0.76392,0.72222,0.71335,0.35676,1.73717,3.36082,0.0207,0.0016436,0.0016436,0.0016436
20,1517.98,1.72199,2.36136,0.01277,0.7345,0.55556,0.69014,0.3713,1.62902,3.22038,0.01776,0.0016238,0.0016238,0.0016238
21,1581.16,1.6703,2.10624,0.01244,0.74761,0.65871,0.63308,0.37086,1.52059,3.07783,0.01504,0.001604,0.001604,0.001604
22,1645.9,1.68927,1.9877,0.01274,1,0.611,0.6999,0.38113,1.63246,2.97226,0.01768,0.0015842,0.0015842,0.0015842
23,1708.96,1.64614,1.99219,0.0128,0.59024,0.5,0.56646,0.29186,1.86784,3.10887,0.01914,0.0015644,0.0015644,0.0015644
